,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
45,Domantas Sabonis,PF,20.5,OKC,77.5,1721.0,12.2,0.518,0.1935,0.23900000000000002,6.75,20.799999999999997,13.8,9.95,1.15,1.6,14.65,18.75,0.75,2.0,2.75,0.074,-2.55,-0.3,-2.8,-0.3,2017,1627734.0,Domantas,Sabonis,Domantas Sabonis,"Sabonis, Domantas",D. Sabonis,domantas-sabonis,1996-05-03T00:00:00,Gonzaga,Lithuania,Gonzaga/Lithuania,82.0,240.0,7.0,Forward-Center,Active,Y,1610612758.0,domantas_sabonis,2016.0,2023.0,N,Y,Y,2016,N,2,2,4,Yes
46,Donovan Mitchell,SG,21.5,UTA,78.0,2618.0,16.95,0.539,0.37150000000000005,0.2385,2.4,10.45,6.5,20.299999999999997,2.1,0.9,11.95,30.35,1.35,3.75,5.1,0.0935,1.05,0.2,1.25,2.2,2018,1628378.0,Donovan,Mitchell,Donovan Mitchell,"Mitchell, Donovan",D. Mitchell,donovan-mitchell,1996-09-07T00:00:00,Louisville,USA,Louisville/USA,75.0,215.0,6.0,Guard,Active,Y,1610612739.0,donovan_mitchell,2017.0,2023.0,N,Y,Y,2017,N,3,3,2,No
47,Doug McDermott,SF,23.5,CHI,58.5,1091.0,8.5,0.5205,0.3925,0.135,2.1,10.5,6.4,4.0,0.5,0.2,10.1,17.8,0.9,0.44999999999999996,1.4,0.033999999999999996,-2.55,-1.9,-4.45,-0.35,2015,203926.0,Doug,McDermott,Doug McDermott,"McDermott, Doug",D. McDermott,doug-mcdermott,1992-01-03T00:00:00,Creighton,USA,Creighton/USA,78.0,225.0,9.0,Forward,Active,Y,1610612759.0,doug_mcdermott,2014.0,2023.0,N,Y,Y,2014,N,1,1,1,No
48,Dragan Bender,PF,19.5,PHO,62.5,1321.5,6.199999999999999,0.482,0.646,0.0865,3.1,16.2,9.5,7.2,0.65,2.6,17.15,13.55,-0.7,0.55,-0.09999999999999999,-0.014,-3.5999999999999996,-0.75,-4.4,-0.65,2017,1627733.0,Dragan,Bender,Dragan Bender,"Bender, Dragan",D. Bender,dragan-bender,1997-11-17T00:00:00,Maccabi Tel Aviv,Croatia,Maccabi Tel Aviv/Croatia,84.0,249.0,4.0,Forward,Inactive,N,0.0,dragan_bender,2016.0,2019.0,Y,Y,Y,2016,N,2,2,3,Yes
49,Dwayne Bacon,SG,22.5,CHO,48.0,736.0,8.75,0.5005,0.28150000000000003,0.1545,0.8500000000000001,15.1,7.85,8.35,0.9500000000000001,0.4,8.149999999999999,15.25,0.10000000000000003,0.44999999999999996,0.5499999999999999,0.032999999999999995,-3.45,-0.75,-4.2,-0.4,2018,1628407.0,Dwayne,Bacon,Dwayne Bacon,"Bacon, Dwayne",D. Bacon,dwayne-bacon,1995-08-30T00:00:00,Florida State,USA,Florida State/USA,78.0,221.0,5.0,Guard-Forward,Inactive,N,1610612753.0,dwayne_bacon,2017.0,2020.0,Y,Y,Y,2017,N,3,3,2,No
50,Elfrid Payton,PG,20.5,ORL,77.5,2317.0,13.850000000000001,0.46699999999999997,0.0925,0.281,4.35,10.399999999999999,7.300000000000001,32.7,2.5,0.75,19.049999999999997,19.35,0.25,2.0,2.25,0.047,-1.1,-0.15,-1.2,0.45,2015,203901.0,Elfrid,Payton,Elfrid Payton,"Payton, Elfrid",E. Payton,elfrid-payton,1994-02-22T00:00:00,Louisana-Lafayette,USA,Louisana-Lafayette/USA,75.0,195.0,9.0,Guard,Inactive,N,1610612756.0,elfrid_payton,2014.0,2021.0,Y,Y,Y,2014,N,3,3,3,No
51,Emmanuel Mudiay,PG,19.5,DEN,61.5,1737.0,10.4,0.45999999999999996,0.2895,0.267,2.0,11.25,6.6,25.4,1.5,1.0499999999999998,17.2,24.15,-1.8499999999999999,0.85,-0.9500000000000001,-0.021500000000000002,-1.95,-1.75,-3.7,-0.8,2016,1626144.0,Emmanuel,Mudiay,Emmanuel Mudiay,"Mudiay, Emmanuel",E. Mudiay,emmanuel-mudiay,1996-03-05T00:00:00,Guangdong,Democratic Republic of the Congo,Guangdong/Democratic Republic of the Congo,75.0,200.0,7.0,Guard,Inactive,N,0.0,emmanuel_mudiay,2015.0,2021.0,Y,Y,Y,2015,N,1,1,1,No
52,Frank Jackson,PG,20.5,NOP,60.0,983.0,9.25,0.5135000000000001,0.4065,0.195,2.55,8.8,5.7,9.4,1.0,0.25,10.5,19.85,-0.05,0.35,0.30000000000000004,0.013999999999999999,-3.0999999999999996,-1.9500000000000002,-5.05,-0.75,2019,1628402.0,Frank,Jackson,Frank Jackson,"Jackson, Frank",F. Jackson,frank-jackson,1998-05-04T00:00:00,Duke,USA,Duke/USA,75.0,205.0,5.0,Guard,Inactive,N,0.0,frank_jackson,2017.0,2022.0,Y,Y,Y,2017,N,1,1,1,No
53,Frank Kaminsky,C,22.5,CHO,78.0,1831.0,12.75,0.5075000000000001,0.41300000000000003,0.2385,3.8000000000000003,16.5,10.1,11.25,1.15,1.75,8.45,19.450000000000003,0.8,2.0,2.8,0.0745,-0.75,-0.19999999999999998,-1.0,0.45,2016,1626163.0,Frank,Kaminsky,Frank Kaminsky,"Kaminsky, Frank",F. Kaminsky,frank-kaminsky,1993-04-04T00:00:00,Wisconsin,USA,Wisconsin/USA,84.0,240.0,9.0,Forward-Center,Inactive,N,1610612745.0,frank_kaminsky,2015.0,2022.0,N,Y,Y,2015,N,3,3,2,No
54,Frank Mason III,PG,23.5,SAC,45.0,709.5,12.7,0.491,0.3025,0.32,2.3499999999999996,10.55,6.3,24.5,1.7,0.9,14.35,22.200000000000003,0.0,0.44999999999999996,0.4,0.03,-1.6,-1.15,-2.7,-0.1,2018,1628412.0,Frank,Mason III,Frank Mason III,"Mason III, Frank",F. Mason III,frank-mason-iii,1994-04-03T00:00:00,Kansas,USA,Kansas/USA,71.0,190.0,5.0,Guard,Inactive,N,0.0,frank_mason,2017.0,2020.0,Y,Y,Y,2017,N,1,1,3,Yes
55,Frank Ntilikina,PG,19.5,NYK,60.5,1305.0,6.5,0.427,0.361,0.121,1.9,9.0,5.4,19.75,1.75,1.1,17.85,16.75,-1.65,0.75,-0.8500000000000001,-0.0355,-4.85,-0.65,-5.5,-1.1,2018,1628373.0,Frank,Ntilikina,Frank Ntilikina,"Ntilikina, Frank",F. Ntilikina,frank-ntilikina,1998-07-28T00:00:00,Strasbourg IG,France,Strasbourg IG/France,76.0,200.0,6.0,Guard,Active,Y,1610612766.0,frank_ntilikina,2017.0,2023.0,N,Y,Y,2017,N,2,2,4,Yes
56,Furkan Korkmaz,SG,20.5,PHI,31.0,379.5,7.45,0.457,0.5974999999999999,0.16149999999999998,2.7,12.75,7.8500000000000005,8.7,1.6,0.6,7.449999999999999,17.4,0.15000000000000002,0.39999999999999997,0.55,0.0365,-4.1,-0.6,-4.7,-0.05,2018,1627788.0,Furkan,Korkmaz,Furkan Korkmaz,"Korkmaz, Furkan",F. Korkmaz,furkan-korkmaz,1997-07-24T00:00:00,Anadolu Efes,Turkey,Anadolu Efes/Turkey,79.0,202.0,6.0,Guard-Forward,Active,Y,1610612755.0,furkan_korkmaz,2017.0,2023.0,Y,Y,Y,2016,N,1,2,3,Yes
57,Gary Harris,SG,20.5,DEN,65.5,1579.0,8.8,0.4805,0.4315,0.1955,2.7,7.2,4.9,7.7,2.35,0.7,12.2,16.55,0.7999999999999999,0.85,1.65,0.0165,-3.0999999999999996,0.04999999999999999,-3.1,0.04999999999999999,2015,203914.0,Gary,Harris,Gary Harris,"Harris, Gary",G. Harris,gary-harris,1994-09-14T00:00:00,Michigan State,USA,Michigan State/USA,76.0,210.0,9.0,Guard,Active,Y,1610612753.0,gary_harris,2014.0,2023.0,N,Y,Y,2014,N,3,3,2,No
58,Gary Trent Jr.,SG,20.5,POR,38.0,721.5,8.25,0.482,0.514,0.121,1.5,7.6,4.6,6.25,1.05,1.2,5.7,18.5,0.9500000000000001,0.2,1.15,-0.0015000000000000013,-3.05,-2.5,-5.550000000000001,0.19999999999999998,2019,1629018.0,Gary,Trent Jr.,Gary Trent Jr.,"Trent Jr., Gary",G. Trent Jr.,gary-trent-jr,1999-01-18T00:00:00,Duke,USA,Duke/USA,77.0,204.0,5.0,Guard,Active,Y,1610612761.0,gary_trent_jr,2018.0,2023.0,Y,Y,Y,2018,N,1,2,3,Yes
59,Glenn Robinson III,SG-SF,21.5,TOT,40.0,384.5,9.95,0.4895,0.26449999999999996,0.308,4.35,11.3,7.800000000000001,7.35,1.45,0.85,11.05,15.5,0.1,0.35,0.45,0.045,-2.3,-0.8999999999999999,-3.25,-0.05,2015,203922.0,Glenn,Robinson III,Glenn Robinson III,"Robinson III, Glenn",G. Robinson III,glenn-robinson-iii,1994-01-08T00:00:00,Michigan,USA,Michigan/USA,78.0,222.0,8.0,Forward,Inactive,N,0.0,glenn_robinson iii,2014.0,2020.0,Y,Y,Y,2014,N,1,3,3,No
60,Grayson Allen,SG,23.5,UTA,38.0,567.0,9.75,0.5625,0.559,0.258,1.0,8.1,4.6,9.45,0.7,0.65,12.4,21.0,0.2,0.4,0.6,0.042,-2.15,-1.65,-3.8,-0.2,2019,1628960.0,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,76.0,198.0,5.0,Guard,Active,Y,1610612756.0,grayson_allen,2018.0,2023.0,Y,Y,Y,2018,N,1,1,3,Yes
61,Hamidou Diallo,SG,20.5,OKC,48.5,711.0,9.7,0.494,0.16899999999999998,0.2855,6.4,13.35,9.9,5.15,1.95,1.25,12.149999999999999,17.5,-0.3,0.9,0.6000000000000001,0.0455,-4.300000000000001,0.25,-4.05,-0.35,2019,1628977.0,Hamidou,Diallo,Hamidou Diallo,"Diallo, Hamidou",H. Diallo,hamidou-diallo,1998-07-31T00:00:00,Kentucky,USA,Kentucky/USA,77.0,202.0,5.0,Guard,Active,Y,1610612764.0,hamidou_diallo,2018.0,2023.0,Y,Y,Y,2018,N,3,3,3,No
62,Henry Ellenson,PF,20.5,DET,28.5,237.5,9.0,0.45999999999999996,0.479,0.162,4.55,24.950000000000003,14.45,8.3,0.55,0.3,13.7,24.25,-0.30000000000000004,0.30000000000000004,-0.05,-0.025499999999999995,-3.3499999999999996,-1.85,-5.15,-0.15000000000000002,2017,1627740.0,Henry,Ellenson,Henry Ellenson,"Ellenson, Henry",H. Ellenson,henry-ellenson,1997-01-13T00:00:00,Marquette,USA,Marquette/USA,82.0,240.0,5.0,Forward-Center,Inactive,N,0.0,henry_ellenson,2016.0,2020.0,Y,Y,Y,2016,N,1,1,2,Yes
63,Isaiah Canaan,PG,22.5,HOU,34.5,595.0,10.95,0.52,0.6415,0.246,2.7,7.7,5.199999999999999,15.95,1.55,0.75,15.35,21.3,0.4,0.44999999999999996,0.7999999999999999,0.0515,-1.2,-1.2,-2.4,0.09999999999999999,2014,203477.0,Isaiah,Canaan,Isaiah Canaan,"Canaan, Isaiah",I. Canaan,isaiah-canaan,1991-05-21T00:00:00,Murray State,USA,Murray State/USA,72.0,200.0,6.0,Guard,Inactive,N,0.0,isaiah_canaan,2013.0,2018.0,Y,Y,Y,2013,N,1,1,3,Yes
64,Isaiah Roby,PF,21.5,OKC,32.0,718.0,2.1,0.2775,0.127,0.1365,3.2,19.05,11.2,5.7,0.85,1.15,34.5,12.85,-0.2,0.75,0.65,-0.07250000000000001,-7.85,-1.5,-9.35,-0.25,2020,1629676.0,Isaiah,Roby,Isaiah Roby,"Roby, Isaiah",I. Roby,isaiah-roby,1998-02-03T00:00:00,Nebraska,USA,Nebraska/USA,80.0,230.0,5.0,Forward,Inactive,Y,1610612752.0,roby_isaiah,2019.0,2022.0,Y,Y,Y,2019,N,1,3,3,No
65,Ivica Zubac,C,19.5,LAL,40.5,509.5,16.15,0.552,0.010499999999999999,0.312,9.45,21.0,15.15,8.45,1.0,3.7,12.850000000000001,18.950000000000003,0.55,0.5,1.05,0.102,-1.5,-0.44999999999999996,-1.85,0.0,2017,1627826.0,Ivica,Zubac,Ivica Zubac,"Zubac, Ivica",I. Zubac,ivica-zubac,1997-03-18T00:00:00,Mega Basket,Croatia,Mega Basket/Croatia,84.0,240.0,7.0,Center,Active,Y,1610612746.0,ivica_zubac,2016.0,2023.0,Y,Y,Y,2016,N,2,2,4,Yes
66,Ja Morant,PG,20.5,MEM,65.0,2063.5,17.049999999999997,0.5465,0.2215,0.359,2.8,10.25,6.55,34.35,1.3,0.7,16.15,26.549999999999997,1.95,1.55,3.5,0.08099999999999999,1.35,-1.4,-0.05000000000000002,1.0,2020,1629630.0,Ja,Morant,Ja Morant,"Morant, Ja",J. Morant,ja-morant,1999-08-10T00:00:00,Murray State,USA,Murray State/USA,74.0,174.0,4.0,Guard,Active,Y,1610612763.0,ja_morant,2019.0,2023.0,N,Y,Y,2019,N,1,1,3,Yes
67,Jabari Parker,PF,19.5,MIL,50.5,1573.0,14.65,0.531,0.05,0.2525,6.85,13.15,10.05,9.2,1.8,0.8,12.15,20.799999999999997,1.4,1.1,2.45,0.07999999999999999,-0.25,-1.0,-1.25,0.15,2015,203953.0,Jabari,Parker,Jabari Parker,"Parker, Jabari",J. Parker,jabari-parker,1995-03-15T00:00:00,Duke,USA,Duke/USA,79.0,245.0,8.0,Forward,Inactive,N,0.0,jabari_parker,2014.0,2021.0,N,Y,Y,2014,N,2,2,1,No
68,Jahlil Okafor,C,20.5,PHI,51.5,1362.5,15.950000000000001,0.541,0.004,0.2915,7.949999999999999,16.65,12.25,8.6,0.8,3.15,13.45,25.700000000000003,0.2,1.0,1.2,0.0435,-1.2,-1.2,-2.4,-0.1,2016,1626143.0,Jahlil,Okafor,Jahlil Okafor,"Okafor, Jahlil",J. Okafor,jahlil-okafor,1995-12-15T00:00:00,Duke,USA,Duke/USA,82.0,270.0,7.0,Center-Forward,Inactive,N,1610612755.0,jahlil_okafor,2015.0,2020.0,Y,Y,Y,2015,N,1,2,3,Yes
69,Jake Layman,SF,22.5,POR,35.0,204.5,4.9,0.378,0.49949999999999994,0.1275,2.75,8.05,5.4,7.800000000000001,1.85,1.5,9.8,16.8,-0.35,0.15000000000000002,-0.2,-0.0375,-5.0,-0.39999999999999997,-5.35,-0.2,2017,1627774.0,Jake,Layman,Jake Layman,"Layman, Jake",J. Layman,jake-layman,1994-03-07T00:00:00,Maryland,USA,Maryland/USA,80.0,209.0,7.0,Forward,Inactive,N,1610612750.0,jake_layman,2016.0,2021.0,Y,Y,Y,2016,N,1,3,2,No
70,Jalen Brunson,PG,22.5,DAL,65.0,1306.5,13.850000000000001,0.551,0.3145,0.2025,2.0,10.45,6.300000000000001,24.8,1.05,0.25,13.05,19.75,1.55,0.8,2.35,0.089,-0.5499999999999999,-0.75,-1.3,0.2,2019,1628973.0,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,74.0,190.0,5.0,Guard,Active,Y,1610612752.0,jalen_brunson,2018.0,2023.0,N,Y,Y,2018,N,2,2,3,Yes
71,Jalen McDaniels,SF,22.5,CHO,31.5,598.5,11.05,0.5640000000000001,0.35650000000000004,0.23399999999999999,5.35,17.25,11.1,7.699999999999999,1.45,1.5,12.5,15.15,0.25,0.55,0.85,0.07,-3.0999999999999996,-0.15000000000000002,-3.25,-0.2,2020,1629667.0,Jalen,McDaniels,Jalen McDaniels,"McDaniels, Jalen",J. McDaniels,jalen-mcdaniels,1998-01-31T00:00:00,San Diego State,USA,San Diego State/USA,81.0,190.0,4.0,Forward,Active,Y,1610612761.0,jalen_mcdaniels,2019.0,2023.0,Y,Y,Y,2019,N,3,3,3,No
72,Jamal Murray,SG,19.5,DEN,81.5,2164.5,14.0,0.5469999999999999,0.44099999999999995,0.201,3.1,10.05,6.6,15.2,1.45,1.0,12.7,22.200000000000003,2.4499999999999997,0.95,3.4,0.06999999999999999,0.3,-1.45,-1.15,0.55,2017,1627750.0,Jamal,Murray,Jamal Murray,"Murray, Jamal",J. Murray,jamal-murray,1997-02-23T00:00:00,Kentucky,Canada,Kentucky/Canada,76.0,215.0,6.0,Guard,Active,Y,1610612743.0,jamal_murray,2016.0,2023.0,N,Y,Y,2016,N,1,1,2,Yes
73,James Ennis III,SF,24.5,MIA,42.0,690.0,14.65,0.581,0.449,0.34099999999999997,6.45,10.7,8.6,8.65,1.85,1.35,12.4,17.2,0.95,0.5,1.4,0.1105,0.75,-0.75,0.0,0.2,2015,203516.0,James,Ennis III,James Ennis III,"Ennis III, James",J. Ennis III,james-ennis-iii,1990-07-01T00:00:00,Cal State-Long Beach,USA,California State-Long Beach/USA,78.0,215.0,8.0,Forward,Inactive,N,0.0,james_ennis_iii,2014.0,2021.0,Y,Y,Y,2013,N,2,2,3,Yes
74,Jarell Martin,PF,21.5,MEM,34.5,469.0,11.35,0.5055000000000001,0.0915,0.4325,9.8,20.0,14.75,4.300000000000001,1.35,1.6,12.8,17.799999999999997,0.15,0.5,0.7,0.077,-3.65,-1.2,-4.75,-0.35,2016,1626185.0,Jarell,Martin,Jarell Martin,"Martin, Jarell",J. Martin,jarell-martin,1994-05-24T00:00:00,Louisiana State,USA,Louisiana State/USA,82.0,239.0,5.0,Forward,Inactive,N,1610612763.0,jarell_martin,2015.0,2018.0,Y,Y,Y,2015,N,1,2,2,No
75,Jarrett Culver,SG,20.5,MIN,48.5,1002.5,9.2,0.47150000000000003,0.35150000000000003,0.246,5.9,13.05,9.350000000000001,8.8,1.7000000000000002,1.85,12.2,18.7,-0.8,0.7000000000000001,-0.1,-0.005,-3.9,-0.9,-4.8,-0.65,2020,1629633.0,Jarrett,Culver,Jarrett Culver,"Culver, Jarrett",J. Culver,jarrett-culver,1999-02-20T00:00:00,Texas Tech,USA,Texas Tech/USA,78.0,195.0,4.0,Guard-Forward,Inactive,N,0.0,jarrett_culver,2019.0,2022.0,Y,Y,Y,2019,N,2,2,3,Yes
76,Jaxson Hayes,C,19.5,NOP,62.0,1022.0,18.35,0.6819999999999999,0.0325,0.5815,9.95,17.3,13.6,6.2,1.15,4.0,11.95,15.6,2.7,1.05,3.7,0.1735,-0.15000000000000002,0.3,0.15,0.55,2020,1629637.0,Jaxson,Hayes,Jaxson Hayes,"Hayes, Jaxson",J. Hayes,jaxson-hayes,2000-05-23T00:00:00,Texas,USA,Texas/USA,84.0,220.0,4.0,Center-Forward,Active,Y,1610612747.0,jaxson_hayes,2019.0,2023.0,Y,Y,Y,2019,N,3,3,4,Yes
77,Jaylen Brown,SF,20.5,BOS,74.0,1746.5,11.95,0.5505,0.35,0.2915,3.5999999999999996,14.2,8.95,7.85,1.4500000000000002,1.05,12.25,19.75,0.7,2.25,3.0,0.0765,-1.9,-0.25,-2.1,0.10000000000000003,2017,1627759.0,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,78.0,223.0,7.0,Guard-Forward,Active,Y,1610612738.0,jaylen_brown,2016.0,2023.0,N,Y,Y,2016,N,2,3,2,No
78,Jaylen Nowell,SG,20.5,MIN,28.5,455.0,11.4,0.4995,0.46950000000000003,0.2425,2.3,9.3,5.65,15.15,1.15,1.0,5.95,19.35,0.2,0.2,0.44999999999999996,0.0475,-2.2,-1.1,-3.3,-0.15000000000000002,2020,1629669.0,Jaylen,Nowell,Jaylen Nowell,"Nowell, Jaylen",J. Nowell,jaylen-nowell,1999-07-09T00:00:00,Washington,USA,Washington/USA,76.0,201.0,4.0,Guard,Inactive,Y,0.0,jaylen_nowell,2019.0,2023.0,Y,Y,Y,2019,N,2,2,2,No
79,Jerami Grant,SF,20.5,PHI,71.0,1721.5,10.649999999999999,0.488,0.3435,0.543,4.35,13.3,8.65,9.9,1.4,4.35,14.600000000000001,17.25,-0.2,1.5,1.3,0.0345,-3.0,0.5,-2.5,-0.2,2015,203924.0,Jerami,Grant,Jerami Grant,"Grant, Jerami",J. Grant,jerami-grant,1994-03-12T00:00:00,Syracuse,USA,Syracuse/USA,79.0,210.0,9.0,Forward,Active,Y,1610612757.0,jerami_grant,2014.0,2023.0,N,Y,Y,2014,N,3,3,4,Yes
80,Joe Harris,SG,23.5,CLE,28.0,254.0,4.5,0.456,0.85,0.0625,0.85,15.15,8.05,12.95,0.35,0.15,18.8,14.6,0.0,0.1,0.1,-0.007000000000000001,-4.5,-1.25,-5.75,-0.2,2015,203925.0,Joe,Harris,Joe Harris,"Harris, Joe",J. Harris,joe-harris,1991-09-06T00:00:00,Virginia,USA,Virginia/USA,78.0,220.0,9.0,Guard-Forward,Active,Y,1610612765.0,joe_harris,2014.0,2023.0,Y,Y,Y,2014,N,1,2,2,No
81,Joffrey Lauvergne,C,23.5,DEN,41.5,654.5,13.1,0.513,0.1595,0.2485,9.3,22.0,15.45,8.3,1.05,2.05,14.7,19.7,0.7000000000000001,0.5,1.2,0.058499999999999996,-2.55,-1.05,-3.5999999999999996,-0.05,2015,203530.0,Joffrey,Lauvergne,Joffrey Lauvergne,"Lauvergne, Joffrey",J. Lauvergne,joffrey-lauvergne,1991-09-30T00:00:00,Khimki,France,Khimki/France,83.0,260.0,5.0,Center,Inactive,N,1610612743.0,joffrey_lauvergne,2014.0,2017.0,N,Y,Y,2013,N,2,2,2,No
82,John Collins,PF,20.5,ATL,67.5,1807.0,20.05,0.6234999999999999,0.138,0.3305,11.65,22.450000000000003,17.0,9.95,0.95,2.8,12.75,20.799999999999997,4.2,1.5,5.7,0.1515,1.2,-0.85,0.35,1.05,2018,1628381.0,John,Collins,John Collins,"Collins, John",J. Collins,john-collins,1997-09-23T00:00:00,Wake Forest,USA,Wake Forest/USA,81.0,226.0,6.0,Forward-Center,Active,Y,1610612762.0,john_collins,2017.0,2023.0,N,Y,Y,2017,N,3,3,2,No
83,Jordan Clarkson,PG,22.5,LAL,69.0,2014.0,15.6,0.522,0.247,0.2255,3.9,10.05,6.85,18.8,1.75,0.44999999999999996,11.399999999999999,22.9,1.85,0.4,2.25,0.058499999999999996,0.5499999999999999,-1.2,-0.7000000000000001,0.5,2015,203903.0,Jordan,Clarkson,Jordan Clarkson,"Clarkson, Jordan",J. Clarkson,jordan-clarkson,1992-06-07T00:00:00,Missouri,USA,Missouri/USA,75.0,194.0,9.0,Guard,Active,Y,1610612762.0,jordan_clarkson,2014.0,2023.0,Y,Y,Y,2014,N,1,1,1,No
84,Jordan McRae,PG,24.5,TOT,29.5,289.5,11.95,0.518,0.311,0.293,2.05,9.45,5.800000000000001,14.149999999999999,0.85,0.8500000000000001,11.0,22.35,0.05,0.15000000000000002,0.30000000000000004,0.0535,-1.3,-1.5,-2.75,-0.1,2016,203895.0,Jordan,McRae,Jordan McRae,"McRae, Jordan",J. McRae,jordan-mcrae,1991-03-28T00:00:00,Tennessee,USA,Tennessee/USA,77.0,179.0,5.0,Guard,Inactive,N,1610612764.0,jordan_mcrae,2015.0,2019.0,Y,Y,Y,2014,N,1,1,2,Yes
85,Jordan Poole,SG,20.5,GSW,54.0,1131.0,11.15,0.5175,0.5549999999999999,0.244,1.15,8.899999999999999,5.0,15.600000000000001,1.25,0.75,10.3,23.05,-0.25,0.65,0.35,0.0235,-1.85,-1.7000000000000002,-3.55,-0.55,2020,1629673.0,Jordan,Poole,Jordan Poole,"Poole, Jordan",J. Poole,jordan-poole,1999-06-19T00:00:00,Michigan,USA,Michigan/USA,76.0,194.0,4.0,Guard,Active,Y,1610612764.0,jordan_poole,2019.0,2023.0,Y,Y,Y,2019,N,1,1,2,Yes
86,Josh Jackson,SF,20.5,PHO,78.0,1973.5,11.2,0.4835,0.2505,0.276,4.35,15.05,9.649999999999999,12.1,1.9,1.8499999999999999,13.899999999999999,24.95,-2.4,1.15,-1.2,-0.028999999999999998,-3.05,-1.2999999999999998,-4.4,-1.2000000000000002,2018,1628367.0,Josh,Jackson,Josh Jackson,"Jackson, Josh",J. Jackson,josh-jackson,1997-02-10T00:00:00,Kansas,USA,Kansas/USA,80.0,207.0,6.0,Guard-Forward,Inactive,N,1610612758.0,josh_jackson,2017.0,2021.0,Y,Y,Y,2017,N,1,1,4,Yes
87,Josh Okogie,SG,20.5,MIN,68.0,1652.0,10.45,0.5225,0.405,0.39949999999999997,4.1,11.850000000000001,7.85,7.9,2.2,1.5,12.55,15.25,0.4,1.2999999999999998,1.7000000000000002,0.051000000000000004,-2.95,0.2,-2.75,-0.35,2019,1629006.0,Josh,Okogie,Josh Okogie,"Okogie, Josh",J. Okogie,josh-okogie,1998-09-01T00:00:00,Georgia Tech,Nigeria,Georgia Tech/Nigeria,76.0,213.0,5.0,Guard,Active,Y,1610612756.0,josh_okogie,2018.0,2023.0,N,Y,Y,2018,N,3,3,4,Yes
88,Julius Randle,PF,20.5,LAL,41.0,1150.0,3.2,0.37,0.0215,0.495,3.9,16.0,9.75,5.5,0.6,0.5,17.0,18.35,-0.2,0.95,0.75,-0.12050000000000001,-5.75,-3.4499999999999997,-9.15,-0.35,2015,203944.0,Julius,Randle,Julius Randle,"Randle, Julius",J. Randle,julius-randle,1994-11-29T00:00:00,Kentucky,USA,Kentucky/USA,80.0,250.0,9.0,Forward-Center,Active,Y,1610612752.0,julius_randle,2014.0,2023.0,N,Y,Y,2014,N,1,1,3,Yes
89,Justin Jackson,SF,22.5,SAC,74.5,1560.0,10.25,0.541,0.47350000000000003,0.1245,2.4,11.8,7.0,7.65,0.9,0.75,6.85,14.25,1.2,0.7,1.95,0.058499999999999996,-1.6,-0.9500000000000001,-2.55,-0.19999999999999998,2018,1628382.0,Justin,Jackson,Justin Jackson,"Jackson, Justin",J. Jackson,justin-jackson,1995-03-28T00:00:00,North Carolina,USA,North Carolina/USA,80.0,220.0,6.0,Forward,Inactive,N,0.0,justin_jackson,2017.0,2022.0,Y,Y,Y,2017,N,1,2,1,No
90,Karl-Anthony Towns,C,20.5,MIN,82.0,2828.5,24.2,0.604,0.131,0.264,10.75,27.65,19.2,12.25,1.0,3.5999999999999996,11.95,26.2,7.7,2.8,10.5,0.176,4.0,-0.55,3.45,3.95,2016,1626157.0,Karl-Anthony,Towns,Karl-Anthony Towns,"Towns, Karl-Anthony",K. Towns,karl-anthony-towns,1995-11-15T00:00:00,Kentucky,USA,Kentucky/USA,84.0,248.0,8.0,Center-Forward,Active,Y,1610612750.0,karl-anthony_towns,2015.0,2023.0,N,Y,Y,2015,N,2,2,3,Yes
91,Keita Bates-Diop,SF,23.5,MIN,37.0,623.5,11.0,0.514,0.403,0.259,3.45,14.75,8.95,5.199999999999999,1.45,2.55,7.15,14.95,0.3,0.5,0.75,0.055,-1.9,-0.5,-2.4,-0.05,2019,1628966.0,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,80.0,229.0,5.0,Forward,Active,Y,1610612756.0,keita_bates-diop,2018.0,2023.0,Y,Y,Y,2018,N,2,2,3,Yes
